Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	31141596DG01199	Eva Pan Hang type Natural Edge	65
ZBF12S	31141596DG01225	Holder Fr Bulb Wo Wr Harness	375
ZBF12S	31141596DG01233	Leg Rubber FATL Rbr	0
ZBF12S	31141596DG02187	Blade FAN DC MOTOR EON ABS	100
ZBF12S	31141596DG05325	String Drain Valve SAWM PPCP	0
ZBF12S	31141596DG05701	Crisper Tray Marvel GPPS	20
ZBF12S	31141596DG05703	Liner Shelf Trim Marvel HIPS	0
ZBF12S	31141596DG05848	Knob Lit Gry SA0 ABS 12grams	0
ZBF12S	31141596DG05853	Knob Drk Gry SA1+ ABS 11grams	0
ZBF12S	31161700DG00090	Hex Nut MS M6	0
ZBF12S	31161908DG00019	Torsion spring CS SW-C (hard	0
ZBF12S	31162801DG00036	H Knob N white Chrome Insrt	0
ZBF12S	31162801DG00415	H Knob SAWM0 ABS Drk Gry	0
ZBF12S	31281896DG00787	Safety Lever Fuzzy New Design	0
ZBF12S	31401503DG00014	Gasket MAIN DOOR 180L EDGE	0
ZBF12S	32101502SD00156	PCBA Display Pcb(digital)power	1
ZBF12S	32101502SD00224	PCBA Display pcb nxw njtrt-2	1
ZBF12S	32101502SD00302	PCBA MOG 1.5 T RoHS STD	0
ZBF12S	32101502SD00304	PCBA Muziplay RoHS STD	1
ZBF12S	32101502SD00307	PCBA CtrlCard AUTOCLNMODFD 901	1
ZBF12S	32101502SD00308	PCBA CNTRL CRD 600FX MEM BK+NT	0
ZBF12S	32101502SD00552	PCBA CTRL PNL ASSY GMX20CA5MKZ	0
ZBF12S	32101502SD00951	PCBA ODU PCB GSC18MIN3RWPM	1
ZBF12S	32101502SD00967	PCBA PCB Disp GSC 18FFZH3 RWPH	1
ZBF12S	32101502SD01852	PCBA PCB Main GSC18USZ5WPR	1
ZBF12S	32101502SD02641	PCBA Asy Display 18K 3S Eco	2
ZBF12S	32101502SD02824	PCBA Spin Base Q1 Protcn RoHS	44
ZBF12S	32101502SD02847	PCBA Spin Base Bldc Q1Prt RoHS	49
ZBF12S	32101502SD02879	PCBA ODU GIC 18 HTC 5 WTA	1
ZBF12S	32101502SD02952	PCBA Spin Top FxSpd Q1Prt RoHS	0
ZBF12S	32101502SD03580	PCBA iTrans Base R1 2S ILJIN	0
ZBF12S	32101502SD03971	PCBA ODU 18K 3S TI SUDN23GM1TR	0
ZBF12S	32101502SD03973	PCBA ODU 20K 3S TI SUDN23	3
ZBF12S	32101502SD03993	PCBA Auriga Base EP RoHS/UL94	0
ZBF12S	32101502SD04229	PCBA 18K3S Sanyo IDU+ 4Wy Swg	1
ZBF12S	32121501SD00076	Fxd Cap Paper 9mF 240V 2 50Hz	0
ZBF12S	32121501SD00087	Fxd Cap Paper 8.5mF 440V 2	0
ZBF12S	32121501SD00116	Fxd Cap Oil 45+4mF 450VAC 9	0
ZBF12S	32121501SD00268	Fxd Cap MPC 2-45mF 440VAC 4	106
ZBF12S	32121501SD00839	Fxd Cap Oil 36mF 450VAC 6	0
ZBF12S	32121501SD00841	Fxd Cap Oil 45mF 450VAC 6	0
ZBF12S	32121501SD00843	Fxd Cap Oil 55mF 450VAC 6	0
ZBF12S	32121501SD00852	Fxd Cap Oil 60+2mF 450VAC 9	5
ZBF12S	32121501SD00853	Fxd Cap Oil 60+10mF 450VAC 9	20
