Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
RMS97742409,HANDLE TOP CR PLTD EDGE OPT 2 ,31141596DG01976,HANDLE TOP PU COAT EDGE OPT 2
RMS97742410,HANDLE BTM MB EDGE OPT 2      ,31141596DG01977,HANDLE BTM MB EDGE OPT 2
RMS97742411,HANDLE TOP PU COAT EDGE OPT 2 ,31141596DG01976,HANDLE TOP PU COAT EDGE OPT 2
RMS97742412,T TOP SUPPORT NEW EDGE        ,13111308DG00047,CRISPER DECO STRIP- EON
RMS97742437,CORU BOX5PLY 330L ELE. 5 STAR ,24121511SD00822,CORU BOX5PLY 330L ELE. 5 STAR
RMS97742438,RUBBER GROMET FOR ECP BOX     ,31162401DG00037,RUBBER GROMET FOR ECP BOX
RMS97742439,EPS PACKING FOR ECP BOX       ,13111308DG00149,EPS PACKING FOR ECP BOX
RMS97742441,WIR DIAGRAM STKR 330L ELE. 5* ,55121606SD00416,WIR DIAGRAM STKR 330L ELE. 5*
RMS97742458,FOAM TAPE10X10X1000MM-18~20DEN,31201527SD00021,FOAM TAPE10X10X1000MM-18~20DEN
RMS97742468,CRISPER EDGE                  ,31141596DG00958,CRISPER EDGE - PP
RMS97742469,SIF(SILVER ION FRESH)LOGO EDGE,55121606SD01351,SIF LOGO EDGE
RMS97742897,USER MANUAL DIGIFRESH         ,55101521SD00209,USER MANUAL DIGIFRESH
RMS97742963,HNDL INLAY - GD19V5 CANDY RED ,31141596DG02556,HNDL INLAY - GD19V5 CANDY RED
RMS97742964,HNDL.BTM. - GD19V5 CANDY RED  ,31141596DG02608,HNDL.BTM. - GD19V5 CANDY RED
RMS97742966,EVAP. FRAME- GD19V5-NEO WHITE ,31141596DG00285,EVAPORATOR FRAME GD19 5-STAR
RMS97742970,TG TRIM-GD19-NEO WHITE        ,31141596DG02517,TRIM FOR T GLASS-LG WHITE-GD19
RMS97742972,EGG TEMPLATE-GD19- NEO WHITE  ,31141596DG02478,EGG TEMPLATE LH  JERRRY CLEAR
RMS97742974,BTL.SHLF-GD19-NATL-SILVER PRT ,31141596DG00523,BTL.SHLF-GD19-NATL-SILVER PRT
