Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
502023100000001,WATER BOTTLE-1000 ML          ,32101502SD00610,PCBA MAIN PCB+DISP GSC12FP3
502023100000003,WATER BOTTLE - 500 ML         ,32101502SD00611,PCBA MAIN PCB+DISP GSC18FP3
521515040000002,DISPOSABLE GLASSES            ,32101502SD00612,PCBA MAIN PCB+DISP GSC13FA
60000829,YELLOW PAINT                  ,32101502SD00897,PCBA MAIN+DISP PCB GSC10FE3
60025498,STICKERS FR NEW COMPRESR R134A,32101502SD00900,PCBA MAIN+DISP PCB GSC12FE3
60034724,"SOWM LABEL G1,G2,G3  7*9      ",32101502SD00901,PCBA MAIN+DISP PCB GSC18FE3
60046079,GLASS SEAL TERMINAL (INDIAN)  ,32101502SD00891,PCBA MAIN+DISP PCB GSC24FE3
89401121,SHAFT B 5TT                   ,32101502SD00878,PCBA MAIN+DISP PCB GSC12FE5
89601028,1/1.5T USERS MANUAL           ,32101502SD00899,PCBA MAIN+DISP PCB GSC10FV5
91004266,USERS MANUAL MD:5034 DGS&D    ,32101502SD00453,PCBA MAIN+DISPLAY PCB FGSC18FV
93006086,SAFETY LEVER FUZZY            ,32101502SD00887,PCBA MAIN+DISP PCB GSC10FD
94037072,CORNER CUSHION AUTO           ,32101502SD00896,PCBA MAIN+DISP PCB GSC12FD
97513003,5/8' FLARE NUT                ,32101502SD00888,PCBA MAIN+DISP PCB GSC18FD
97513016,3/8'FLARE NUT                 ,32101502SD01989,PCBA PCB Main+Disp GSC24FD
97513652,FLARE NUT 1/2'                ,40101701PA05838,Remote Control COM 1T SAC GREE
97514097,MANUAL FOR MD 5106/5126       ,40101701PA02114,Remote Control GSC18FW3WOU
97516583,USER MANUAL MODEL 5026        ,32101502SD00444,PCBA MAIN PCB GSC18FZ3WNL RoHS
97521378,USERS MANUAL FOR 5088         ,40101701PA01871,Remote Control ALLGALANZMODELS
97707394,PLASTIC LEG 100/150L          ,40101701PA02117,Remote Control GSC24FI5WNX 2T
97709983,LEVELLING SCREW 100/150       ,32101502SD00903,PCBA MAIN PCB GSC12FR2A/CWOT
97712237,LEAD UNIT B GDF 1201          ,32101502SD00902,PCBA MAIN PCB GSC18RD3WOT RoHS
97713764,DETERGENT CASE SILK GREY      ,32101502SD00895,PCBA DISPLAY PCB GSC12FN3WOU
97718504,NEW MANUAL GDF 1301           ,32101502SD00892,PCBA MAIN PCB GSC12FN3WOU RoHS
97720102,3 PIN TOP 16  AMP ANCHOR MAKE ,40101701PA04794,Remote Control GSC12FN3WOU 1T
97731663,TRANSP.SLEEVE-AL.CONDSOR 9X7  ,32101502SD00879,PCBA MAIN PCB GSC12FN3WOU RoHS
97742460,CARTON FOR ODU STAND          ,32101502SD00877,PCBA DISPLAY PCB GSC12FN3WOU
97744923,MCC 300L                      ,40101701PA04795,Remote Control GSC12FW3WOU 1T
97752324,SOLAR PANEL 235W WITH CONECTOR,32101502SD00893,PCBA MAIN PCB GSC18FN3WOU RoHS
ABK97753976,Motor Bracket GWC10TGZ2RWPT   ,40101701PA04799,Remote Control GSC18FN3WOU
ABKSCQ212WF,Wall Mounting  GSC12FQ2WNC    ,32101502SD00890,PCBA MAIN PCB GSC18FW3WOU RoHS
ABKSCQ218MF,Wall Mounting  GSC18FQ2WNC    ,32101502SD00881,PCBA DISPLAY PCB GSC18FW3WOU
ABKSGG718CS,Clamp Capacitor GSC18FG7      ,40101701PA02114,Remote Control GSC18FW3WOU
ABKSGG718MS,Motor Bracket GSC18FG7        ,32101502SD00445,PCBA MAIN PCB GSC12FGAWOG RoHS
ABKSGG718WC,Clamp Cable GSC18FG7          ,40101701PA02114,Remote Control GSC18FW3WOU
ABKSHK312MS,Motor Bracket GSC12FK3WLH     ,32101502SD00445,PCBA MAIN PCB GSC12FGAWOG RoHS
ABKSHK318FM,Motor Bracket GSC12FV5/18FK3  ,40101701PA02114,Remote Control GSC18FW3WOU
